abandon,freedom from artificial constraint
importance,weight
import,"that which a word , phrase , or document contains as its signification or intention or interpretation of a word , action , event , and the like"
impossibility,the quality of being impossible
impress,a mark made by pressure
impression,stamp
improvement,that which is improved
impudence,the quality of being impudent
impulse,the action of a force during a very small interval of time
inability,"lack of sufficient power , strength , resources , or capacity"
incapable,a simpleton
incense,the perfume or odors exhaled from spices and gums when burned in celebrating religious rites or as an offering to some deity
inch,"a small distance or degree , whether of time or space"
incident,that which falls out or takes place
inclination,a tendency towards another body or point
incline,a slope
income,the annual receipts of a private person or a corporation from property
inconvenience,"anything that disturbs quiet , impedes prosperity , or increases the difficulty of action or success"
increase,offspring
independence,sufficient means for a comfortable livelihood
independent,one who does not acknowledge an obligation to support a party ' s candidate under all circumstances
index,"a pointer or a hand that directs to anything , as the hand of a watch , a movable finger or other form of pointer on a gauge , scale , or other graduated instrument"
indication,token
indifference,"freedom from prejudice , prepossession , or bias"
indignation,punishment
individual,"a single person , animal , or thing of any kind"
individuality,unity
indulgence,the quality of being indulgent
industry,steady attention to business
infamy,a quality which exposes to disgrace
infancy,the state or period of being an infant
infant,a minor
infantry,"foot soldiers , in distinction from cavalry"
infection,epidemic
inference,a conclusion
inferior,"a person lower in station , rank , intellect , etc"
infinite,infinity
influence,controlling power quietly exerted
information,intelligence
infringement,"an encroachment on a patent , copyright , or other special privilege"
ingenuity,quickness or acuteness in forming new combinations
ingratitude,"insensibility to , forgetfulness of , or ill return for , kindness or favors received"
inhabitant,"one who has a legal settlement in a town , city , or parish"
inheritance,a possession which passes by descent
iniquity,gross injustice
initial,the first letter of a word or a name
initiative,an act which originates or begins
injunction,a mandate
injury,evil
injustice,violation of the rights of another or others
ink,a pigment
inland,the interior part of a country
innocence,the state or quality of being morally free from guilt or sin
innocent,"one free from , or unacquainted with , guilt or sin"
inn,"one of the colleges ( societies or buildings ) in london , for students of the law barristers"
inquiry,"search for truth , information , or knowledge"
inquisition,examination
inquisitive,one curious in research
inscription,a word or words written or engraved on a solid substance for preservation or public inspection
insect,"any air - breathing arthropod , as a spider or scorpion"
insight,a sight or view of the interior of anything
insolence,arrogant contempt
inspection,the act or process of inspecting or looking at carefully
inspector,"one who inspects , views , or oversees"
inspiration,the act or power of exercising an elevating or stimulating influence upon the intellect or emotions
instance,urgency
instant,a day of the present or current month
instinct,a predilection
institution,"established order , method , or custom"
instruction,direction
instrument,a tool
insult,an act or speech of insolence or contempt
insurance,the premium paid for insuring property or life
insurrection,"a rising against civil or political authority , or the established government"
integrity,purity
intellect,"the capacity for higher forms of knowledge , as distinguished from the power to perceive objects in their relations"
intellectual,the intellect or understanding
intelligence,"the intellect , as a gift or an endowment"
intended,one who is betrothed
intensity,intenseness
intention,closeness of application
intent,meaning
intercourse,communion
interest,part
interference,"the act or state of interfering , or of claiming a right to the same invention"
interior,that which is within
interpretation,construction
interpreter,a translator
interruption,the state of being interrupted
interval,a space between things
intervention,the act of intervening
interview,a meeting face to face
intimation,a remote or ambiguous reference
