abandon,freedom from artificial constraint
grin,"the act of closing the teeth and showing them , or of withdrawing the lips and showing the teeth"
grip,"a peculiar mode of clasping the hand , by which members of a secret association recognize or greet , one another"
groan,"usually , a deep , mournful sound uttered in pain or great distress"
groom,a servant
gross,twelve times twelve
grotesque,artificial grotto - work
ground,a floor or pavement supposed to rest upon the earth
group,"an assemblage of objects in a certain order or relation , or having some resemblance or common characteristic"
grove,"a smaller group of trees than a forest , and without underwood , planted , or growing naturally as if arranged by art"
growl,"the deep , threatening sound made by a surly dog"
growth,prevalence or influence
grudge,sullen malice or malevolence
guarantee,a security
guard,defense
guardian,a warden
guess,a surmise
guest,a visitor entertained without pay
guidance,a leading
guide,a director
guilt,a recognition of one ' s own responsibility for doing something wrong
guise,behavior
gulf,a partially land - locked sea
gum,a rubber overshoe
gun,"in a restricted sense , a cannon"
gunpowder,"a black , granular , explosive substance , consisting of an intimate mechanical mixture of saltpeter , charcoal , and sulphur"
guy,"a rope , chain , or rod attached to anything to steady it"
habitation,place of abode
habit,the general appearance and manner of life of a living organism
hail,a wish of health
hair,"the collection or mass of filaments growing from the skin of an animal , and forming a covering for a part of the head or for any part or the whole of the body"
half,"one of two equal parts into which anything may be divided , or considered as divided"
hall,"a vestibule , entrance room , etc"
halt,the act of limping
hammer,"an instrument for driving nails , beating metals , and the like , consisting of a head , usually of steel or iron , fixed crosswise to a handle"
ham,the thigh of any animal
handful,"a person , task , or situation , which is the most that one can manage"
handkerchief,"a piece of cloth , usually square and often fine and elegant , carried for wiping the face or hands"
handle,the instrument for effecting a purpose
handling,"the mode of using the pencil or brush , etc"
hand,"that part of the fore limb below the forearm or wrist in man and monkeys , and the corresponding part in many other animals"
handwriting,the cast or form of writing peculiar to each hand or person
hang,arrangement
hanging,"that which is hung as lining or drapery for the walls of a room , as tapestry , paper , etc"
happiness,prosperity
harbor,a place of security and comfort
hard,a ford or passage across a river or swamp
hardness,"the quality or state of being hard , literally or figuratively"
hardship,"that which is hard to bear , as toil , privation , injury , injustice , etc"
hardware,"the sum of all the physical objects , such as the electrical , mechanical , and electronic devices which comprise a computer system"
harm,damage
harmony,peace and friendship
harness,"the equipment of a draught or carriage horse , for drawing a wagon , coach , chaise , etc"
harp,"a musical instrument consisting of a triangular frame furnished with strings and sometimes with pedals , held upright , and played with the fingers"
hart,a stag
harvest,the gathering of a crop of any kind
haste,speed
hate,detestation
hat,one with a crown and brim made of various materials and worn by men or women for protecting the head from the sun or weather or for ornament
haul,a single draught of a net
haunt,a place to which one frequently resorts
hawk,"an effort to force up phlegm from the throat , accompanied with noise"
hay,"a net set around the haunt of an animal , especially of a rabbit"
hazard,the uncertain result of throwing a die
haze,a lack of transparency in the air
hazel,the filbert
headache,pain in the head
header,"one who , or that which , heads nails , rivets , etc"
heading,formation of a head
head,"often , also , the larger , thicker , or heavier part or extremity , in distinction from the smaller or thinner part , or from the point or edge"
health,the state of being free from physical disease or pain
heap,a pile or mass
hearing,the faculty or sense by which sound is perceived
hearth,"the pavement or floor of brick , stone , or metal in a chimney , on which a fire is made"
