abandon,careless freedom or ease
improvement,the act of improving
impulse,force so communicated as to produced motion suddenly or immediately
impulse,the effect of such action
incapable,one who is morally or mentally weak or inefficient
incense,used figuratively
inch,a critical moment
incline,an ascent or descent
income,receipts
income,the annual receipts of a private person or a corporation from property
inconvenience,"anything that disturbs quiet , impedes prosperity , or increases the difficulty of action or success"
inconvenience,lack of convenience
inconvenience,unfitness
increase,"addition or enlargement in size , extent , quantity , number , intensity , value , substance , etc"
increase,progeny
increase,that which is added to the original stock by augmentation or growth
independence,"exemption from reliance on , or control by , others"
independence,freedom from dependence
independent,one who does not acknowledge an obligation to support a party ' s candidate under all circumstances
index,"that which guides , points out , informs , or directs"
indication,discovery made
indifference,absence of weight
indifference,insignificance
indignation,"the feeling excited by that which is unworthy , base , or disgraceful"
individual,a person
individual,"a thing or being incapable of separation or division , without losing its identity"
individuality,the quality or state of being individual or constituting an individual
indulgence,"remission of the temporal punishment due to sins , after the guilt of sin has been remitted by sincere repentance"
industry,assiduity
industry,labor
industry,one which employs much labor and capital and is a distinct branch of trade
infamy,dishonor
infamy,ignominy
infancy,minority
infant,"a child in the first period of life , beginning at his birth"
infantry,a body of soldiers serving on foot
infection,the act or process of infecting
infection,the condition of suffering from an infectious disease
infinite,an infinity
influence,acknowledged ascendency
influence,induction
ingratitude,lack of gratitude
iniquity,an iniquitous act or thing
injunction,a precept
injunction,"the act of directing , commanding , or prohibiting"
injury,"detriment to , or violation of , the person , character , feelings , rights , property , or interests of an individual"
injury,hurt
injustice,lack of justice and equity
innocence,purity of heart
innocence,the state or quality of being innocent
innocent,an idiot
innocent,an unsophisticated person
inquiry,interrogation
inquiry,research
inquisition,inquiry
inquisition,official examination
inquisition,the act of inquiring
inscription,a word or words written or engraved on a solid substance for preservation or public inspection
inscription,something written or engraved
insight,introspection
insight,power of acute observation and deduction
insolence,insolent conduct or treatment
inspection,the act or process of inspecting or looking at carefully
inspector,"one who inspects , views , or oversees"
instance,occasion
instance,suggestion
instant,a point in time
instinct,a natural aptitude or knack
instinct,a predilection
institution,"established order , method , or custom"
instrument,a device
insult,"gross abuse offered to another , either by word or act"
insult,trauma
insurance,"the act of insuring , or assuring , against loss or damage by a contingent event"
insurance,the sum for which life or property is insured
integrity,the state or quality of being entire or complete
intellect,the thinking faculty
intelligence,notice
intelligence,the capacity to know or understand
intensity,extreme degree
intensity,"the magnitude of a distributed force , as pressure , stress , weight , etc"
intention,aim
intention,end
intention,fixedness of attention
intercourse,association
intercourse,communion
interest,"advantage , personal or general"
interest,benefit
interest,share
interference,"the act or state of interfering , or of claiming a right to the same invention"
interior,the inside
interpretation,exposition or explanation given
interpreter,a translator
interview,"a conversation , or questioning , for the purpose of eliciting information for publication"
intimation,an obscure or indirect suggestion or notice
intrigue,stratagem
intrigue,the plot of a play or romance
introduction,matter
