abandon,freedom from artificial constraint
impossibility,impracticability
impress,a mark made by pressure
impression,sensible result of an influence exerted from without
impress,stamp
improvement,advancement or growth
improvement,promotion in desirable qualities
improvement,that which is improved
inability,the quality or state of being unable
inch,"a small distance or degree , whether of time or space"
incident,casualty
incident,that which happens aside from the main design
incline,a slope
income,salary
income,the annual receipts of a private person or a corporation from property
increase,"addition or enlargement in size , extent , quantity , number , intensity , value , substance , etc"
increase,interest
increase,produce
increase,progeny
increase,that which is added to the original stock by augmentation or growth
independence,the state or quality of being independent
independent,one who does not acknowledge an obligation to support a party ' s candidate under all circumstances
index,"that which guides , points out , informs , or directs"
indication,discovery made
indication,evidence
indication,information
indifference,insignificance
indignation,"anger mingled with contempt , disgust , or abhorrence"
individual,a human being
individual,"a single person , animal , or thing of any kind"
individual,"a thing or being incapable of separation or division , without losing its identity"
individuality,"a habit of thinking and acting in one ' s own distinctive manner and as one believes appropriate , not being heavily influenced by the opinions of others"
industry,one which employs much labor and capital and is a distinct branch of trade
infamy,a quality which exposes to disgrace
infamy,dishonor
infamy,extreme baseness or vileness
infancy,the first part of life
infancy,the state or period of being an infant
infant,"a child in the first period of life , beginning at his birth"
infection,the result of infecting influence
infinite,an infinity
influence,induction
infringement,"an encroachment on a patent , copyright , or other special privilege"
ingenuity,"curiousness , or cleverness in design or contrivance"
ingenuity,skill in devising or combining
inhabitant,"one who dwells or resides permanently in a place , as distinguished from a transient lodger or visitor"
inhabitant,"one who has a legal settlement in a town , city , or parish"
inheritance,a heritage
iniquity,gross injustice
initial,the first letter of a word or a name
injunction,a command
injunction,an order
injunction,a precept
injunction,that which is enjoined
injunction,the act of enjoining
injury,any damage or hurt done to a person or thing
injury,evil
injustice,violation of the rights of another or others
ink,"the step , or socket , in which the lower end of a millstone spindle runs"
inquiry,interrogation
inquisition,judicial inquiry
inquisition,the act of inquiring
inquisition,"the finding of a jury , especially such a finding under a writ of inquiry"
inscription,a line of division or intersection
insect,"any air - breathing arthropod , as a spider or scorpion"
insight,penetration
insight,perception
insolence,the quality of being insolent
inspector,a superintendent
inspector,a supervisor
inspiration,a supernatural influence which qualifies men to receive and communicate divine truth
inspiration,breath
inspiration,the act or power of exercising an elevating or stimulating influence upon the intellect or emotions
instance,that which offers itself or is offered as an illustrative case
instance,the act or quality of being instant or pressing
instant,a point in time
institution,"established order , method , or custom"
institution,permanent form of law or polity
instruction,direction
instruction,information
instruction,"the act of instructing , teaching , or furnishing with knowledge"
integrity,uprightness
intellect,"the capacity for higher forms of knowledge , as distinguished from the power to perceive objects in their relations"
intensity,the amount or degree of energy with which a force operates or a cause acts
intent,aim
intention,a determination to act in a certain way or to do a certain thing
intention,end
intention,purpose
intent,the act of turning the mind toward an object
interest,a desire to learn more about a topic or engage often in an activity
interference,neutralization or superposition of waves generally
interference,the act or state of interfering
interpretation,the act of interpreting
