abandon,freedom from artificial constraint
guardian,"one who guards , preserves , or secures"
guess,a surmise
guest,a person received and entertained in one ' s house or at one ' s table
guidance,government
guide,one who exhibits points of interest to strangers
guilt,the state of one who has broken a moral or political law
guise,mode
gulf,a sucking eddy
gum,"the dense tissues which invest the teeth , and cover the adjacent parts of the jaws"
gun,"in a restricted sense , a cannon"
gunpowder,"a black , granular , explosive substance , consisting of an intimate mechanical mixture of saltpeter , charcoal , and sulphur"
guy,"a rope which holds in place the end of a boom , spar , or yard in a ship"
habitation,place of abode
habit,fixed or established custom
hail,"small roundish masses of ice precipitated from the clouds , where they are formed by the congelation of vapor"
hair,"the collection or mass of filaments growing from the skin of an animal , and forming a covering for a part of the head or for any part or the whole of the body"
half,"one of two equal parts into which anything may be divided , or considered as divided"
hall,"a building or room of considerable size and stateliness , used for public purposes"
halt,lameness
hammer,"an instrument for driving nails , beating metals , and the like , consisting of a head , usually of steel or iron , fixed crosswise to a handle"
ham,the region back of the knee joint
handful,a small quantity or number
handkerchief,"a piece of cloth , usually square and often fine and elegant , carried for wiping the face or hands"
handle,a tool
handling,"a touching , controlling , managing , using , etc"
hand,"that part of the fore limb below the forearm or wrist in man and monkeys , and the corresponding part in many other animals"
handwriting,the cast or form of writing peculiar to each hand or person
hanging,death by suspension
hang,plan
happiness,good fortune
harbor,a port or haven
hard,a ford or passage across a river or swamp
hardness,"the quality or state of being hard , literally or figuratively"
hardship,"that which is hard to bear , as toil , privation , injury , injustice , etc"
hardware,"the sum of all the physical objects , such as the electrical , mechanical , and electronic devices which comprise a computer system"
harm,damage
harmony,"the just adaptation of parts to each other , in any system or combination of things , or in things intended to form a connected whole"
harness,in general armor
harp,"a musical instrument consisting of a triangular frame furnished with strings and sometimes with pedals , held upright , and played with the fingers"
hart,a stag
harvest,that which is reaped or ready to be reaped or gathered
haste,the state of being urged or pressed by business
hate,strong aversion coupled with desire that evil should befall the person toward whom the feeling is directed
hat,one with a crown and brim made of various materials and worn by men or women for protecting the head from the sun or weather or for ornament
haul,a pulling with force
haunt,a place to which one frequently resorts
hawk,"an effort to force up phlegm from the throat , accompanied with noise"
hay,grass cut and cured for fodder
hazard,accident
hazel,a miner ' s name for freestone
haze,"light vapor or smoke in the air which more or less impedes vision , with little or no dampness"
headache,pain in the head
header,"one who , or that which , heads nails , rivets , etc"
heading,formation of a head
head,that which covers and closes the top or the end of a hollow vessel
health,"the state of being hale , sound , or whole , in body , mind , or soul"
heap,a pile or mass
hearing,audience
hearth,fireside
heart,"the seat of the affections or sensibilities , collectively or separately , as love , hate , joy , grief , courage , and the like"
hearty,comrade
heath,any cheerless tract of country overgrown with shrubs or coarse herbage
heathen,an irreligious person
heat,the reverse of cold
heave,a rising
heaven,"the place where the sun , moon , and stars appear"
hedge,"a thicket of bushes , usually thorn bushes"
heed,attention
heel,"sometimes , the whole foot"
height,"the measure upward from a surface , as the floor or the ground , of an animal , especially of a man"
heir,one who receives any endowment from an ancestor or relation
hell,a dungeon or prison
helm,a helmet
helmet,a defensive covering for the head
help,relief
hem,"a border made on sheet - metal ware by doubling over the edge of the sheet , to stiffen it and remove the sharp edge"
hen,the female of grouse pheasants or any kind of birds
herald,"one who , or that which , publishes or announces"
herb,grass
herd,a number of beasts assembled together
